,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
76,9,"K Zhang, W Yao, Z Liu, Y Feng, Z Liu, R RN…",Diversity empowers intelligence: Integrating expertise of software engineering agents,2024,The Thirteenth …,openreview.net,https://openreview.net/forum?id=cKlzKs3Nnb,https://scholar.google.com/scholar?cites=18291900775729527517&as_sdt=2005&sciodt=2007&hl=en,83,2025-04-10 10:45:08,,,,,,,,,9,9.0,1,7,1,… Large language model (LLM) agents have shown great potential in solving realworld software engineering (SWE… We report the mean and standard deviation of the benchmarks over all …,https://openreview.net/pdf?id=cKlzKs3Nnb,https://scholar.google.com/scholar?q=related:3foMRNfi2f0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
77,130,"X Du, M Liu, K Wang, H Wang, J Liu, Y Chen…",Classeval: A manually-crafted benchmark for evaluating llms on class-level code generation,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2308.01861,https://scholar.google.com/scholar?cites=9362893465265447857&as_sdt=2005&sciodt=2007&hl=en,84,2025-04-10 10:45:08,,,,,,,,,130,65.0,19,7,2,"… Since we have discussed most relevant work on LLMs and existing code generation benchmarks in Section 2, we mainly introduce related work on LLM evaluation in this section. Multi-…",https://arxiv.org/pdf/2308.01861,https://scholar.google.com/scholar?q=related:sSP5-v-t74EJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
78,19,I Weber,Large language models as software components: A taxonomy for llm-integrated applications,2024,arXiv preprint arXiv:2406.10300,arxiv.org,https://arxiv.org/abs/2406.10300,https://scholar.google.com/scholar?cites=3202557717625168356&as_sdt=2005&sciodt=2007&hl=en,85,2025-04-10 10:45:08,,,,,,,,,19,19.0,19,1,1,"… autonomous agents and as tools for software engineering. … [73], derived with synthetic benchmark data. It is necessary to … of this field, synthetic benchmarks may fail to cover relevant …",https://arxiv.org/pdf/2406.10300,https://scholar.google.com/scholar?q=related:5OG7u0bFcSwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
79,40,"T Ahmed, P Devanbu","Better patching using llm prompting, via self-consistency",2023,… on Automated Software Engineering …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10298561/,https://scholar.google.com/scholar?cites=13133140572657667166&as_sdt=2005&sciodt=2007&hl=en,86,2025-04-10 10:45:08,,,,,,,,,40,20.0,20,2,2,"… We also find that evidence suggesting that the LLM is learning from the actual, correct commitlog message in the few-shots: using random commit-log messages doesn’t provide any …",https://arxiv.org/pdf/2306.00108,https://scholar.google.com/scholar?q=related:XsyHusRJQrYJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
80,34,"J Sequeda, D Allemang, B Jacob",A benchmark to understand the role of knowledge graphs on large language model's accuracy for question answering on enterprise SQL databases,2024,… of the 7th Joint Workshop on Graph …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3661304.3661901,https://scholar.google.com/scholar?cites=5380963502693532954&as_sdt=2005&sciodt=2007&hl=en,87,2025-04-10 10:45:08,,10.1145/3661304.3661901,,,,,,,34,34.0,11,3,1,"… LLM-based question answering by providing business context is not well understood. This study aims to evaluate the accuracy of LLM-… To achieve this, we introduce a benchmark …",,https://scholar.google.com/scholar?q=related:GsVjz8sFrUoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
81,24,"X Gu, M Chen, Y Lin, Y Hu, H Zhang, C Wan…",On the effectiveness of large language models in domain-specific code generation,2025,… Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3697012,https://scholar.google.com/scholar?cites=12661503522610121961&as_sdt=2005&sciodt=2007&hl=en,88,2025-04-10 10:45:08,,10.1145/3697012,,,,,,,24,24.0,3,7,1,"… [26] hypothesized that existing benchmarks, which rely on … to rigorously benchmark the functional correctness of LLM-… code and challenge existing benchmarks, our work emphasizes a …",https://arxiv.org/pdf/2312.01639,https://scholar.google.com/scholar?q=related:6YyIy16ytq8J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
82,15,"Y Xu, Y Chen, X Zhang, X Lin, P Hu…",Cloudeval-yaml: A practical benchmark for cloud configuration generation,2024,Proceedings of …,proceedings.mlsys.org,https://proceedings.mlsys.org/paper_files/paper/2024/hash/554e056fe2b6d9fd27ffcd3367ae1267-Abstract-Conference.html,https://scholar.google.com/scholar?cites=264582075798549065&as_sdt=2005&sciodt=2007&hl=en,89,2025-04-10 10:45:08,,,,,,,,,15,15.0,3,6,1,"… from common cloud applications to ensure our benchmark is … files, we focus on testing the LLM’s capability to generate YAML … We select the best-performing open/closed-source models …",https://proceedings.mlsys.org/paper_files/paper/2024/file/554e056fe2b6d9fd27ffcd3367ae1267-Paper-Conference.pdf,https://scholar.google.com/scholar?q=related:SXLoAf_7qwMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
83,15,"C Niu, T Zhang, C Li, B Luo, V Ng",On evaluating the efficiency of source code generated by llms,2024,… Models and Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3650105.3652295,https://scholar.google.com/scholar?cites=558441763373718742&as_sdt=2005&sciodt=2007&hl=en,90,2025-04-10 10:45:08,,10.1145/3650105.3652295,,,,,,,15,15.0,3,5,1,"… LLM-assisted programming. First, we evaluate the efficiency of the code generated by LLMs on two benchmarks… by a LLM passes all the test cases, we consider the LLM to have passed …",https://arxiv.org/pdf/2404.06041,https://scholar.google.com/scholar?q=related:1hyiNdP7vwcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
84,56,"Y Chen, Z Hu, C Zhi, J Han, S Deng, J Yin",Chatunitest: A framework for llm-based test generation,2024,… of Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3663529.3663801,https://scholar.google.com/scholar?cites=11804438409216956036&as_sdt=2005&sciodt=2007&hl=en,91,2025-04-10 10:45:08,,10.1145/3663529.3663801,,,,,,,56,56.0,9,6,1,"… , LLM-based tools encounter limitations in generating accurate unit tests. This paper presents ChatUniTest, an LLM-… Moreover, we intend to provide a broader range of benchmark …",https://arxiv.org/pdf/2305.04764,https://scholar.google.com/scholar?q=related:hJZayjDK0aMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
85,22,"Y Huang, Z Lin, X Liu, Y Gong, S Lu, F Lei…",Competition-level problems are effective llm evaluators,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2312.02143,https://scholar.google.com/scholar?cites=16746168181404595662&as_sdt=2005&sciodt=2007&hl=en,92,2025-04-10 10:45:08,,,,,,,,,22,11.0,3,7,2,… reliable evaluation benchmarks for LLMs that minimize the risk of data contamination. … These sequences are used for fine-tuning both CodeLlama and DeepSeek-Coder in a …,https://arxiv.org/pdf/2312.02143,https://scholar.google.com/scholar?q=related:zvWRaTxXZugJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
86,193,"N Jain, K Han, A Gu, WD Li, F Yan, T Zhang…",Livecodebench: Holistic and contamination free evaluation of large language models for code,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2403.07974,https://scholar.google.com/scholar?cites=9951153257198501155&as_sdt=2005&sciodt=2007&hl=en,93,2025-04-10 10:45:08,,,,,,,,,193,193.0,28,7,1,"… Notably, our benchmark also focuses on a broader range of … Indeed, real-world software engineering requires expertise in … collect it and provide it to the LLM in the STDIN format. Since …",https://arxiv.org/pdf/2403.07974,https://scholar.google.com/scholar?q=related:I73J-CmZGYoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
87,30,"M Andriushchenko, A Souly, M Dziemian…",Agentharm: A benchmark for measuring harmfulness of llm agents,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2410.09024,https://scholar.google.com/scholar?cites=2401564792328774425&as_sdt=2005&sciodt=2007&hl=en,94,2025-04-10 10:45:08,,,,,,,,,30,30.0,8,4,1,"… on LLM agent misuse, we propose a new benchmark called AgentHarm. The benchmark … To enable simple and reliable evaluation of attacks and defenses for LLM-based agents, we …",https://arxiv.org/pdf/2410.09024,https://scholar.google.com/scholar?q=related:GWPXX3QSVCEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
88,901,"J Liu, CS Xia, Y Wang, L Zhang",Is your code generated by chatgpt really correct? rigorous evaluation of large language models for code generation,2023,Advances in Neural …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2023/hash/43e9d647ccd3e4b7b5baab53f0368686-Abstract-Conference.html,https://scholar.google.com/scholar?cites=2867890409246450427&as_sdt=2005&sciodt=2007&hl=en,95,2025-04-10 10:45:08,,,,,,,,,901,450.5,225,4,2,… to rigorously benchmark the functional correctness of LLM-… realistic code synthesis benchmark by collecting GitHub … LLMs to perform real-world software engineering tasks [28]. Our …,https://proceedings.neurips.cc/paper_files/paper/2023/file/43e9d647ccd3e4b7b5baab53f0368686-Paper-Conference.pdf,https://scholar.google.com/scholar?q=related:-2Li6SHLzCcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
89,32,"D Xie, B Yoo, N Jiang, M Kim, L Tan, X Zhang…",Impact of large language models on generating software specifications,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2306.03324,https://scholar.google.com/scholar?cites=4506528003906351811&as_sdt=2005&sciodt=2007&hl=en,96,2025-04-10 10:45:08,,,,,,,,,32,16.0,5,7,2,"… applied to numerous software engineering tasks, offers a promising … benchmark LLM to the collected datasets and compare its performance with the traditional approaches. For the LLM, …",https://arxiv.org/pdf/2306.03324,https://scholar.google.com/scholar?q=related:wzIwy1dnij4J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
90,26,"M Xing, R Zhang, H Xue, Q Chen, F Yang…",Understanding the weakness of large language model agents within a complex android environment,2024,Proceedings of the 30th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3637528.3671650,https://scholar.google.com/scholar?cites=13011583725587555775&as_sdt=2005&sciodt=2007&hl=en,98,2025-04-10 10:45:08,,10.1145/3637528.3671650,,,,,,,26,26.0,4,6,1,"… , an environment and benchmark designed to evaluate LLM agents on a modern operating … [15], primarily due to the fact that the feasible action sequence for a task is often non-unique. …",https://arxiv.org/pdf/2402.06596,https://scholar.google.com/scholar?q=related:v2XmyHVukrQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
91,17,"S Zhang, J Wang, G Dong, J Sun, Y Zhang…",Experimenting a new programming practice with llms,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2401.01062,https://scholar.google.com/scholar?cites=9495509489621184207&as_sdt=2005&sciodt=2007&hl=en,99,2025-04-10 10:45:08,,,,,,,,,17,17.0,3,6,1,"… to imagine a future where software engineering is reduced to … a benchmark for evaluating LLM-based automatic software development systems, we propose the CAASD benchmark …",https://arxiv.org/pdf/2401.01062,https://scholar.google.com/scholar?q=related:z644SpLTxoMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
92,42,"H Guo, J Yang, J Liu, L Yang, L Chai, J Bai…",Owl: A large language model for it operations,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2309.09298,https://scholar.google.com/scholar?cites=3952844749742464431&as_sdt=2005&sciodt=2007&hl=en,100,2025-04-10 10:45:08,,,,,,,,,42,21.0,6,7,2,"… on multiple benchmark datasets, including Owl-Bench and open IT-related benchmarks. OWL … Then, we also introduce the Owl-Bench evaluation benchmark dataset with nine operation …",https://arxiv.org/pdf/2309.09298,https://scholar.google.com/scholar?q=related:r92qWFtT2zYJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
93,21,"J Shi, Z Yang, HJ Kang, B Xu, J He, D Lo",Greening large language models of code,2024,… on software engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3639475.3640097,https://scholar.google.com/scholar?cites=13398708467473085257&as_sdt=2005&sciodt=2007&hl=en,101,2025-04-10 10:45:08,,10.1145/3639475.3640097,,,,,,,21,21.0,4,6,1,… ness across various software engineering tasks. Despite the … a deployable model from a large language model of code by … settings from the CodeXGLUE benchmark [49]. In the case of …,https://dl.acm.org/doi/pdf/10.1145/3639475.3640097,https://scholar.google.com/scholar?q=related:SXPAnFzG8bkJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
94,25,"M Jiao, T Yu, X Li, G Qiu, X Gu…",On the evaluation of neural code translation: Taxonomy and benchmark,2023,… Software Engineering …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10298408/,https://scholar.google.com/scholar?cites=13711654888442031158&as_sdt=2005&sciodt=2007&hl=en,102,2025-04-10 10:45:08,,,,,,,,,25,12.5,4,6,2,"… Existing benchmarks are biased towards trivial translations, such … benchmark by manually curating type-3 and type-4 translation pairs and unit test cases. Results on our new benchmark …",https://arxiv.org/pdf/2308.08961,https://scholar.google.com/scholar?q=related:NuxVPHmVSb4J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
95,54,"R Tian, Y Ye, Y Qin, X Cong, Y Lin, Y Pan, Y Wu…",Debugbench: Evaluating debugging capability of large language models,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2401.04621,https://scholar.google.com/scholar?cites=15525401644435188774&as_sdt=2005&sciodt=2007&hl=en,103,2025-04-10 10:45:08,,,,,,,,,54,54.0,7,8,1,"… The field of LLM code generation has been extensively studied. Researchers … benchmarks. To overcome this deficiency, we introduce DebugBench, the new LLM debugging benchmark …",https://arxiv.org/pdf/2401.04621,https://scholar.google.com/scholar?q=related:JizT24lOddcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
96,20,"C Wen, Y Cai, B Zhang, J Su, Z Xu, D Liu…",Automatically inspecting thousands of static bug warnings with large language model: How far are we?,2024,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3653718,https://scholar.google.com/scholar?cites=11606154802520014838&as_sdt=2005&sciodt=2007&hl=en,104,2025-04-10 10:45:08,,10.1145/3653718,,,,,,,20,20.0,3,7,1,… Benchmark Programs. To understand the capability of Llm4sa in … it on both benchmark programs and real-world software. We irst evaluate Llm4sa by utilizing a collection of benchmark …,https://wcventure.github.io/pdf/TKDD2024_LLM4SA.pdf,https://scholar.google.com/scholar?q=related:9j9mBE1YEaEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
97,59,"T Cui, Y Wang, C Fu, Y Xiao, S Li, X Deng, Y Liu…","Risk taxonomy, mitigation, and assessment benchmarks of large language model systems",2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2401.05778,https://scholar.google.com/scholar?cites=8815608174359936482&as_sdt=2005&sciodt=2007&hl=en,105,2025-04-10 10:45:08,,,,,,,,,59,59.0,7,8,1,"… with each module of an LLM system and discusses the corresponding miti… benchmarks, aiming to facilitate the risk assessment of LLM systems. We hope that this paper can help LLM …",https://arxiv.org/pdf/2401.05778,https://scholar.google.com/scholar?q=related:4v3Ab-1UV3oJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
98,63,"S Ullah, M Han, S Pujar, H Pearce…","Llms cannot reliably identify and reason about security vulnerabilities (yet?): A comprehensive evaluation, framework, and benchmarks",2024,… IEEE Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10646663/,https://scholar.google.com/scholar?cites=7878384397234394831&as_sdt=2005&sciodt=2007&hl=en,106,2025-04-10 10:45:08,,,,,,,,,63,63.0,13,5,1,… the release of increasingly capable LLM models at a quick … Our framework tests the capabilities of a given LLM as a … and show that: (a) LLM performance varies widely depending on the …,https://arxiv.org/pdf/2312.12575,https://scholar.google.com/scholar?q=related:z9YiKd6kVW0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
99,37,"J Liu, C Liu, P Zhou, Q Ye, D Chong, K Zhou…",Llmrec: Benchmarking large language models on recommendation task,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2308.12241,https://scholar.google.com/scholar?cites=13324799280900025232&as_sdt=2005&sciodt=2007&hl=en,107,2025-04-10 10:45:08,,,,,,,,,37,18.5,5,7,2,"… LLM-based recommender system designed for benchmarking LLMs on various recommendation tasks. Specifically, we benchmark … Specifically, we set the prefix sequence length to 128 …",https://arxiv.org/pdf/2308.12241,https://scholar.google.com/scholar?q=related:kCttIVky67gJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
100,22,"J Lu, T Holleis, Y Zhang, B Aumayer, F Nan…","Toolsandbox: A stateful, conversational, interactive evaluation benchmark for llm tool use capabilities",2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2408.04682,https://scholar.google.com/scholar?cites=4961943455604267970&as_sdt=2005&sciodt=2007&hl=en,108,2025-04-10 10:45:08,,,,,,,,,22,22.0,4,6,1,"… the Agent and tools, it relies solely on an LLM evaluator to judge the final pass rate and … benchmark. To the best of our knowledge, TOOLSANDBOX is the first LLM tool-use benchmark …",https://arxiv.org/pdf/2408.04682?,https://scholar.google.com/scholar?q=related:wtvdikhd3EQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
101,18,"Y Guo, C Patsakis, Q Hu, Q Tang, F Casino",Outside the comfort zone: Analysing llm capabilities in software vulnerability detection,2024,European symposium on …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-70879-4_14,https://scholar.google.com/scholar?cites=17627169801426262053&as_sdt=2005&sciodt=2007&hl=en,109,2025-04-10 10:45:08,,10.1007/978-3-031-70879-4_14,,,,,,,18,18.0,4,5,1,"… experiments with different benchmark datasets and observe … Finally, we assess the benchmark datasets using state-of-the-… [53] reviewed the use of LLMs for software engineering tasks…",https://arxiv.org/pdf/2408.16400,https://scholar.google.com/scholar?q=related:JViBqYpJoPQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
102,121,"H Jin, X Han, J Yang, Z Jiang, Z Liu, CY Chang…",Llm maybe longlm: Self-extend llm context window without tuning,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2401.01325,https://scholar.google.com/scholar?cites=6384208667411400297&as_sdt=2005&sciodt=2007&hl=en,110,2025-04-10 10:45:08,,,,,,,,,121,121.0,17,7,1,"… risks degrading existing strong performance on shorter sequences from pretraining or overfitting … On the LEval benchmark in Table 3, we observe similar results. Compared to fine-tuning …",https://arxiv.org/pdf/2401.01325,https://scholar.google.com/scholar?q=related:acYGQfVDmVgJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
103,3,"H Chen, K Lv, C Hu, Y Li, Y Yuan, Y He…",Chineseecomqa: A scalable e-commerce concept evaluation benchmark for large language models,2025,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2502.20196,https://scholar.google.com/scholar?cites=17512295077856864424&as_sdt=2005&sciodt=2007&hl=en,111,2025-04-10 10:45:08,,,,,,,,,3,3.0,0,7,1,"… scalable benchmark construction process that combines LLM … pairs, we require the LLM consider information from both … models from the Qwen series, LLaMA series, and GPT-4o for …",https://arxiv.org/pdf/2502.20196?,https://scholar.google.com/scholar?q=related:qOh61ZYrCPMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
104,28,"J Li, C Tao, J Li, G Li, Z Jin, H Zhang, Z Fang…",Large language model-aware in-context learning for code generation,2023,… on Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3715908,https://scholar.google.com/scholar?cites=13410470295309011752&as_sdt=2005&sciodt=2007&hl=en,112,2025-04-10 10:45:08,,10.1145/3715908,,,,,,,28,14.0,4,8,2,"… To fill this gap, we propose a Large language model-Aware selection approach for In-context-Learning-based code generation named LAIL. LAIL uses LLMs themselves to select …",https://dl.acm.org/doi/pdf/10.1145/3715908,https://scholar.google.com/scholar?q=related:KEvSjq6PG7oJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
106,17,"M Hassid, T Remez, J Gehring, R Schwartz…",The larger the better? improved llm code-generation via budget reallocation,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2404.00725,https://scholar.google.com/scholar?cites=14198790925711892757&as_sdt=2005&sciodt=2007&hl=en,115,2025-04-10 10:45:08,,,,,,,,,17,17.0,3,5,1,"… When considering the challenging APPS benchmark, we find that the 13B model performs … LLM-based policy, which ranks solutions based on the negative log likelihood of the LLM. We …",https://arxiv.org/pdf/2404.00725?,https://scholar.google.com/scholar?q=related:FeEYVx49DMUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
107,31,"H Bansal, A Hosseini, R Agarwal, VQ Tran…","Smaller, weaker, yet better: Training llm reasoners via compute-optimal sampling",2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2408.16737,https://scholar.google.com/scholar?cites=14195916357225151774&as_sdt=2005&sciodt=2007&hl=en,116,2025-04-10 10:45:08,,,,,,,,,31,31.0,6,5,1,… those trained on SE-generated data across multiple benchmarks and multiple choices of WC and SE models. These results challenge the prevailing practice of relying on SE models for …,https://arxiv.org/pdf/2408.16737,https://scholar.google.com/scholar?q=related:Hv2PtbYGAsUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
